# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.collect.changes.ms,1704662035554000000,1704662095607000000,0
workspaceModel.updates.ms,1704662035554000000,1704662095607000000,258
workspaceModel.check.recursive.update.ms,1704662035554000000,1704662095607000000,2
workspaceModel.updates.count,1704662035554000000,1704662095607000000,5
workspaceModel.init.bridges.ms,1704662035554000000,1704662095607000000,4
workspaceModel.replace.project.model.ms,1704662035554000000,1704662095607000000,0
workspaceModel.to.snapshot.ms,1704662035554000000,1704662095607000000,3
workspaceModel.loading.total.ms,1704662035554000000,1704662095607000000,1047
FlushQueue.waitingTime90PNs,1704662035554000000,1704662095607000000,0
FlushQueue.waitingTimeMaxNs,1704662035554000000,1704662095607000000,0
NonBlockingReadAction.failedExecutionsCount,1704662035554000000,1704662095607000000,33
AWTEventQueue.dispatchTime90PNs,1704662035554000000,1704662095607000000,0
FlushQueue.tasksExecuted,1704662035554000000,1704662095607000000,0
AWTEventQueue.eventsDispatched,1704662035554000000,1704662095607000000,0
FlushQueue.waitingTimeAvgNs,1704662035554000000,1704662095607000000,0.0
ReadAction.executionsCount,1704662035554000000,1704662095607000000,4630396
NonBlockingReadAction.finalizedExecutionsCount,1704662035554000000,1704662095607000000,897
AWTEventQueue.dispatchTimeTotalNS,1704662035554000000,1704662095607000000,29753935300
FlushQueue.executionTimeMaxNs,1704662035554000000,1704662095607000000,0
FlushQueue.queueSize90P,1704662035554000000,1704662095607000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1704662035554000000,1704662095607000000,52552783
WriteAction.executionsCount,1704662035554000000,1704662095607000000,365
AWTEventQueue.dispatchTimeMaxNs,1704662035554000000,1704662095607000000,0
FlushQueue.queueSizeAvg,1704662035554000000,1704662095607000000,0.0
FlushQueue.executionTime90PNs,1704662035554000000,1704662095607000000,0
FlushQueue.queueSizeMax,1704662035554000000,1704662095607000000,0
NonBlockingReadAction.failedExecutionTimeUs,1704662035554000000,1704662095607000000,15807064
AWTEventQueue.dispatchTimeAvgNs,1704662035554000000,1704662095607000000,0.0
FlushQueue.executionTimeAvgNs,1704662035554000000,1704662095607000000,0.0
